algorithm,resolution,seed,raw_min,raw_max,roughness_mean,roughness_std,height_mean,height_std,height_skew,height_kurtosis,slope_mean_deg,slope_std_deg,slope_mode_deg,local_minima_count,local_minima_density
perlin,256,0,-0.43956395983695984,0.4167236387729645,0.012320962396212767,0.006335191928388289,0.5178130951912745,0.19485393910563473,-0.04777584759597751,-0.40714630584037037,0.7058723660034928,0.3628939110651255,2.5,562,0.008575439453125
perlin,256,1,-0.39237165451049805,0.4695751965045929,0.011901676358309164,0.006195935852124739,0.4973319756622771,0.171581654884924,0.2958876462989882,-0.14910396289024064,0.6818546937865974,0.3549203614999202,2.5,642,0.009796142578125
perlin,256,2,-0.31684792041778564,0.4000367522239685,0.014005275202791614,0.007192003398211668,0.4256815202593146,0.18069295968678437,0.2516270292188764,-0.25622481298779753,0.8023451107515088,0.4119444889407474,2.5,634,0.009674072265625
perlin,256,3,-0.5079713463783264,0.35219842195510864,0.012602910878442562,0.006291816073794087,0.5804290849441993,0.16534323286581645,-0.3184894422811985,-0.04270006908164525,0.7220244876391444,0.36040964488945665,2.5,551,0.0084075927734375
perlin,256,4,-0.4609260559082031,0.40702661871910095,0.011605834790848018,0.006105289373252043,0.542178797815415,0.15301481739922573,-0.2271359925132826,0.22484439367310705,0.6649081961191595,0.3497326959719772,2.5,688,0.010498046875
perlin,512,0,-0.43956395983695984,0.4167236387729645,0.012154537200223092,0.006230142917041104,0.49706566468963975,0.1669907829181804,0.11311974476302711,-0.19504700055305957,0.6963398254705703,0.356879250624087,2.5,2265,0.008640289306640625
perlin,512,1,-0.42654454708099365,0.4695751965045929,0.01140537790898757,0.005920526675144745,0.49553197847491826,0.14845008858368822,0.029140919732461086,-0.004415718649564582,0.653426486524526,0.3391515657239217,2.5,2443,0.009319305419921875
perlin,512,2,-0.4975733458995819,0.4000367522239685,0.011420251677966368,0.005869302103684827,0.5418066799576123,0.15552663818890244,0.07812445462462267,-0.2013817332092267,0.6542790529318837,0.33621782031388264,2.5,2316,0.0088348388671875
perlin,512,3,-0.5268093943595886,0.483522891998291,0.010484119686684957,0.005374472868761792,0.5315188015680127,0.14173944978676586,-0.27089175765816365,0.1589541211279628,0.6006548215579512,0.30788221058594434,2.5,2260,0.0086212158203125
perlin,512,4,-0.506499707698822,0.4302581250667572,0.011281250525796606,0.0058404317825650675,0.5523287989994315,0.15659951770690658,-0.09530224966607724,-0.2827509072010814,0.6463163930312741,0.334565055096638,2.5,2300,0.0087738037109375
perlin,1024,0,-0.4594406485557556,0.46917542815208435,0.011204954270245053,0.005764336639883199,0.4925937393211154,0.1499055803709328,0.022399207886243163,-0.17085254896452984,0.6419463259313264,0.33020739857025566,2.5,9099,0.008677482604980469
perlin,1024,1,-0.4960653483867645,0.4695751965045929,0.010741060329503059,0.005543501594991788,0.5167624768812208,0.14304841303329965,-0.03841546248344118,-0.14274267959384002,0.6153730071092245,0.3175619326769342,2.5,9215,0.008788108825683594
perlin,1024,2,-0.4975733458995819,0.41026806831359863,0.011374563572049565,0.005840645657210134,0.5512490802060113,0.1523537026309837,0.0026027905006145652,-0.3566312846381057,0.6516620361933646,0.33457711085316627,2.5,9176,0.00875091552734375
perlin,1024,3,-0.5344312787055969,0.483522891998291,0.010280240713606942,0.005311282699291957,0.5338923636188901,0.13956241294421437,-0.1016703889637196,-0.0949454358773889,0.5889754158011746,0.3042637015605153,2.5,9168,0.0087432861328125
perlin,1024,4,-0.506499707698822,0.47033369541168213,0.010699100088172056,0.005498469919185932,0.5246146225362974,0.14712193958258543,-0.06707853479851433,-0.3470618242092818,0.6129695615733253,0.31498272627574847,2.5,9070,0.008649826049804688
perlin,2048,0,-0.4943654239177704,0.4945942163467407,0.01052183914040873,0.005408241539714605,0.49980984316471405,0.14233225679551806,0.0036435845337481304,-0.2408529484829649,0.6028154020740727,0.30981597161777324,2.5,35921,0.008564233779907227
perlin,2048,1,-0.5348473787307739,0.526477575302124,0.009763795497194225,0.005019042838361107,0.5047135640758892,0.13190215884243844,-0.03087616915928068,-0.17993780812406435,0.5593910574608367,0.287527325734384,2.5,36197,0.008630037307739258
perlin,2048,2,-0.5043693780899048,0.5491878986358643,0.009819172217428108,0.005042791800257111,0.47903092914461076,0.13306228663823166,-0.04061345428607689,-0.24362861938955493,0.5625633732884457,0.2888873706237401,2.5,36319,0.008659124374389648
perlin,2048,3,-0.5344312787055969,0.5267383456230164,0.009820090434632767,0.005048163832466902,0.5043381368206507,0.13380578782118166,-0.058378013635649754,-0.11135519830828011,0.5626159269759328,0.28919495125502204,2.5,35936,0.00856781005859375
perlin,2048,4,-0.506499707698822,0.5307247638702393,0.009998651450615353,0.005133245364548968,0.49020327451579887,0.1347738386658243,-0.0361095819851678,-0.24962609268996916,0.5728448904094844,0.2940674303961352,2.5,36399,0.008678197860717773
