condition,n_droplets,lifetime,time_s,roughness_mean,roughness_std,height_skew,height_kurtosis,slope_mean_deg,local_minima_count,local_minima_density
perlin_baseline,0,0,0.0,0.012154537200223092,0.006230142917041104,0.11311974476302711,-0.19504700055305957,0.6963398254705703,2265,0.008640289306640625
erosion_12500_lifetime30,12500,30,5.73,0.012097148924661015,0.00627393797980395,0.12739697091811164,-0.20545563799391653,0.6930516951458484,4230,0.01613616943359375
erosion_50000_lifetime30,50000,30,23.37,0.007651226784550891,0.005273242286016947,0.1491832874965386,-0.1995930786424358,0.43833106605921845,7927,0.030239105224609375
erosion_200000_lifetime30,200000,30,96.06,7.156849579253465e-05,0.002247099106554253,78.13322156494777,36853.53086233068,0.004075427731184593,14953,0.057041168212890625
erosion_400000_lifetime30,400000,30,193.5,0.00010127768916857752,0.0031830639397925067,24.706672684392153,8985.383101725276,0.005767956187067936,17372,0.0662689208984375
erosion_200000_lifetime60,200000,60,184.65,6.959126829678124e-05,0.003005069974746991,99.85169747418576,22187.424146772337,0.003947789082317478,16035,0.061168670654296875
